,Unnamed: 0,title,url,extracted keywords,summary,Scraped Content
0,0,Getting Started,/,"Large Language Models (LLMs), Integration, Technical teams, Robust systems","Prediction Guard focuses on providing robust, compliant, and cost-effective AI solutions by addressing concerns related to Large Language Models (LLMs). Their platform offers features to de-risk LLM inputs, validate and check outputs, and implement private, compliant LLM systems. By using Prediction Guard, companies can leverage trustworthy LLMs without worrying about implementation, hosting, and compliance issues.","Getting Started
Technical teams need to figure out how to integrate the latest Large Language Models (LLMs), but:
You can’t build robust systems with inconsistent, unvalidated outputs; and
LLM integrations scare corporate lawyers, finance departments, and security professionals due to hallucinations, cost, lack of compliance (e.g., HIPAA), leaked IP/PII, and “injection” vulnerabilities.
Some companies are moving forward anyway by investing tons of engineering time/money in their own wrappers around LLMs and expensive hosting with OpenAI/Azure. Others are ignoring these issues and pressing forward with fragile and risky LLM integrations.
At Prediction Guard, we think that you should get useful output from compliant AI systems (without crazy implementation/ hosting costs), so our solution lets you:
De-risk LLM inputsto remove PII and prompt injections;
Validate and check LLM outputsto guard against hallucination, toxicity and inconsistencies; and
Implement private and compliant LLM systems(HIPAA and self-hosted) that give your legal counsel warm fuzzy feeling while still delighting your customers with AI features.
Sounds pretty great right? Follow the steps below to starting leveraging trustworthy LLMs:
1. Get access to Prediction Guard Enterprise
We host and control the latest LLMs for you in our secure and privacy-conserving enterprise platform, so you can focus on your prompts and chains. To access the hosted LLMs, contact ushere(opens in a new tab)to get an enterprise access token. You will need this access token to continue.
2. (Optional) Install the Python client
You can configure and use Prediction Guard using our Python client or via REST API directly. If you are wanting to use the Python client, you can install it as follows:
3. Start using one of our LLMs!
Suppose you want to prompt an LLM to answer a user query from a chat application. You can setup a message thread, which includes a system prompt (that instructs the LLM how to behave in responding) as follows:
You can then use our Python client or REST API to prompt one of our LLMs!
Note, you will need to replacein the above examples with your actual access token.
This should result in something similar to the following output. Thefield contains the raw LLM output.
4. Explore other models, and guides
This is only the beginning of what your can do with Prediction Guard (not to mention what is on our roadmap). Now that you have a working example, consider exploring:
Basic prompting strategies, prompt engineering, RAG workflows and more underUsing LLMs
Thevariety of models availablevia Prediction Guard's easy-to-use API
One of ourguidesfor particular use cases"
1,1,Available Models,/models,"Models, LLMs, Privacy, Capabilities, Strengths, Prompt","The company offers various state-of-the-art LLMs with privacy protection. They have diverse strengths and capabilities. To optimize performance, use specific prompt formats aligned with the models' training data. For assistance, reach out via Slack.","Available Models
Model Options- We host a variety of the latest state-of-the-art LLMs in a privacy conserving manner. These models have a variety of strengths and capabilities. Look through these model details to see which of them might fit your use case.
Prompt Formats- You might be used to entering simple text prompts into systems like ChatGPT. However, when you utilize certain open access LLMs directly, you might want to follow a specific prompt format. These models are fine-tuned using prompt data, and if you match your prompt formats to that training data format then you can see boosts in performance.
Contact us in Slackif you are having issues finding the right model. We want to make sure you can build amazing LLM applications with Prediction Guard."
2,2,Model Options,/models/details,"Prediction Guard, LLMs, Open Access LLMs, OpenAI, Python client, ","Prediction Guard offers easy access to state-of-the-art LLMs without the hassle of implementation, API management, and infrastructure setup. They host models in a secure environment, with data privacy and HIPAA compliance options. Open Access LLMs are popular, while Closed LLMs require additional setup and an OpenAI API key. Prediction Guard also provides assistance for enterprise deployments.","Model Options
Using Prediction Guard gives you quick and easy access to state-of-the-art LLMs, without you needing to spend weeks figuring out all of the implementation details, managing a bunch of different API specs, and setting up a secure infrastructure for model deployments.
LLMs are hosted by Prediction Guard in a secure, privacy conserving environment built in partnership with Intel's Liftoff program for startups.
Note - Prediction Guard does NOT save or share any data sent to these models (or responses from the models). Further, we are able to sign a BAA for customers needing HIPAA compliance.Contact supportwith any questions.
Note - We only integrate models that are licensed permissively for commercial use.
Open Access LLMs (what most of our customers use) 🚀
Open access models are amazing these days! Each of these models was trained by a talented team and released publicly under a permissive license. The data used to train each model and the prompt formatting for each model varies. We've tried to give you some of the relevant details here, but shoot us a messagein Slackwith any questions.
The best models (start here)
Other models available
The models below are available in our API. However, these models scale to zero (i.e., they might not be ready for you to interact with). These models are less frequently accessed by our users, so we suggest you start with the models above. If your company requires one of these models to be up-and-running 24/7.Reach out to us, and we will help make that happen!
Note if you aren't actively using these models, they are scaled down. As such, your first call to a model might need to ""wake up"" that model inference server. You will get a message ""Waking up model. Try again in a few minutes."" in such cases. Typically it takes around 5-15 minutes to wake up the model server depending on the size of the model. We are actively working on reducing these cold start times.
Closed LLMs (if you  t̶r̶u̶s̶t̶ need them)
These models are integrated into our API, but they are not hosted by Prediction Guard in the same manner as the models above.
Note - You will need your own OpenAI API key to use the models below. Customers worried about data privacy, IP/PII leakage, HIPAA compliance, etc. should look into the above ""Open Access LLMs"" and/or our enterprise deploy.Contact supportwith any questions.
To use the OpenAI models above, make sure you either: (1) define the environment variableif you are using the Python client; or (2) set the header parameterif you are using the REST API."
3,3,Prompt Formats,/models/prompts,"Prompt formats, LLMs, Fine-tuning, Performance, Model details, Object","The article discusses various prompt formats for different language models, emphasizing the importance of using the correct format for better performance. These formats include Alpaca, Neural Chat, ChatML, SQLCoder, and Deepseek. The company also mentions that their Python client automatically applies the right prompt formats for convenience.","Prompt Formats
You might be used to entering simple text prompts into systems like ChatGPT. However, when you utilize certain open access LLMs directly, you might want to follow a specific prompt format. These models are fine-tuned using prompt data, and if you match your prompt formats to that training data format then you can see boosts in performance.
Check out themodel details pageto learn which prompt formats match certain LLMs. We've included some of the most important prompt formats below.
Note on Chat model prompts- For your convenience, we automatically apply the right prompt formats when you supply aobject to ourendpoint or via themethod in the Python client. You don't have to add in special tokens or apply the below prompt formats as this will duplicate the formatting. However, if you want to use chat-tuned models in theendpoint or via themethod, you should apply the appropriate one of the below prompt formats.
Alpaca
This format has two options. First, for prompts that are single instructions, without relevant context (e.g., retrieved context):
For prompts where context is injected:
(Replace the portions of the prompt below inwith the appropriate information, and do not keep theorcharacters)
Neural Chat
(Replace the portions of the prompt below inwith the appropriate information, and do not keep theorcharacters)
ChatML
(Replace the portions of the prompt below in curly braceswith the appropriate information, and do not keep the curly braces)
SQLCoder
(Replace the portions of the prompt below in curly braceswith the appropriate information, and do not keep the curly braces)
Deepseek
(Replace the portions of the prompt below in curly braceswith the appropriate information, and do not keep the curly braces)"
4,4,Using LLMs,/usingllms,"LLMs, Prediction Guard, enterprise, industries, access token, text completions, prompting, chat","Prediction Guard focuses on enterprise LLM use cases, offering tutorials on various aspects such as accessing LLMs, prompting, chat, prompt engineering, augmentation, agents, data extraction, and more. It aims to help users level up their knowledge and apply these techniques in different industries.","Using LLMs - Prediction Guard in action
We've worked on a wide variety of enterprise LLM use cases across various industries. Throughout this work, we've found the following principles of LLM usage to be critical and transferable. If you are getting started with Prediction Guard or LLMs in general, the below tutorials about LLM usage should help you level up quickly. Each tutorial can be run in Google Colab without any local environment setup.
Accessing LLMs- Use your Prediction Guard access token to run your first text completions
Basic prompting- Learn how to prompt these models for autocomplete, zero shot instructions, and few shot (or in context) learning
Chat- Learn how to use LLMs to generate responses in a message thread and build chatbots
Prompt engineering- Leverage prompt templates and model parameters to hone in on the right workflows
Augmentation and retrieval- Augment your prompts with your own data
Agents- Create more complex automations with agentic workflows
Data Extraction- Extract relevant data from text output and perform factuality checks
Note- These examples will be given in Python, but the same workflows could be accomplished in other languages via our REST API."
5,5,Accessing LLMs,/usingllms/accessing,"LLMs, generative AI, models, REST API, Prediction Guard, OpenAI, Anthropic,","The most important information for this brand's identity is related to accessing and using LLMs (Language Language Models) through various methods, such as REST APIs, third-party services, self-hosting, and Prediction Guard. The focus is on exploring a wide range of LLMs, including those outside the GPT family, and providing tools for prompting and generating text.","Accessing LLMs
(Run this example in Google Colabhere(opens in a new tab))
Promptingis the process of providing a partial, usually text, input to a model. As we discussed in the last chapter, models will then use their parameterized data transformations to find a probable completion or output that matches the prompt.
To run any prompt through a model, we need to set a foundation for how we will access generative AI models and perform inference. There is a huge variety in the landscape of generative AI models in terms of size, access patterns, licensing, etc. However, a common theme is the usage of LLMs through a REST API, which is either:
Provided by a third party service (OpenAI, Anthropic, Cohere, etc.)
Self-hosted in your own infrastructure or in an account you control with a model hosting provider (Replicate, Baseten, etc.)
Self-hosted using a DIY model serving API (Flask, FastAPI, etc.)
We will usePrediction Guard(opens in a new tab)to call open access LLMs (like Mistral, Llama 2, WizardCoder, etc.) via a standardized OpenAI-like API. This will allow us to explore the full range of LLMs available. Further, it will illustrate how companies can access a wide range of models (outside of the GPT family).
In order to ""prompt"" an LLM via Prediction Guard (and eventually engineer prompts), you will need to first install the Python client and supply your access token as an environment variable:
You can find out more about the models available via the Prediction Guard APIin the docs(opens in a new tab), and you can list out the model names via this command:
Generating text with one of these models is then just single request for a ""Completion"" (note, we also support chat completions). Here we will call themodel and try to have it autocomplete a joke.
This should result in something similar to the following JSON output which includes the completion:
The actual text completion is included in."
6,6,Basic Prompting,/usingllms/prompting,"Basic Prompting, AI Engineering, LLMs, Autocomplete, Zero-shot prompt","Basic Prompting is the emerging task of designing prompts for AI models to achieve specific goals. It involves creating high-quality inputs that can elicit accurate and relevant responses from AI models. Prompt types include autocomplete, zero-shot, and few-shot prompts. Autocomplete prompts are basic and can be open-ended or specific. Zero-shot prompts describe a task, provide context, and have a single output indicator. Few-shot prompts include a small number of gold standard demonstrations to improve consistency and similarity to desired outputs.","Basic Prompting
(Run this example in Google Colabhere(opens in a new tab))
Prompt and AI Engineeringis the emerging developer task of designing and optimizing prompts (and associated workflows/ infra) for AI models to achieve specific goals or outcomes. It involves creating high-quality inputs that can elicit accurate and relevant responses from AI models. The next several examples will help get you up to speed on common prompt engineering strategies.
Dependencies and imports
Similar to the last notebook, you will need to install Prediction Guard and add your token.
Autocomplete
Because LLMs are configured/ trained to perform the task of text completion, the most basic kind of prompt that you might provide is an autocomplete prompt. Regardless of prompt structure, the model function will compute the probabilities of words, tokens, or characters that might follow in the sequence of words, tokens, or characters that you provided in the prompt.
Depending on the desired outcome, the prompt may be a single sentence, a paragraph, or even an partial story. Additionally, the prompt may be open-ended, providing only a general topic or theme, or it may be more specific, outlining a particular scenario or plot.
This prompt should result in an output similar to:
Other examples include the following (note that we can also complete things like SQL statements):
Zero-shot prompts
Autocomplete is a great place to start, but it is only that: a place to start. Throughout this workshop we will be putting on our prompt engineering hats to do some impressive things with generative AI. As we continue along that path, there is a general prompt structure that will pop up over and over again:
One of the easiest ways to leverage the above prompt structure is to describe a task (e.g., sentiment analysis), provide a single piece of data as context, and then provide a single output indicator. This is called azero shot prompt. Here is a zero-shot prompt for performing sentiment analysis:
Which should output.
Note- We are doing some post-processing on the text output (stripping out extra whitespace and only getting the first word/label), because the model will just continue generating text in certain cases. We will return to this later on in the tutorials.
Note- We are using a very specific prompt format (with theetc. markers). This is the alpaca prompt format that is preferred by themodel. Each model might have a different preferred prompt format, and you can find out more about thathere.
Another example of zero-shot prompting is the following for question and answer:
Few shot prompts
When your task is slightly more complicated or requires a few more leaps in reasoning to generate an appropriate response, you can turn to few shot prompting (aka in context learning). In few shot prompting, a small number of gold standard demonstrations are integrated into the prompt. These demonstrations serve as example (context, output) pairs for the model, which serve to tune the probable output on-the-fly to what we ideally want in the output.
Although not always necessary (as seen above), few shot prompting generally produces better results than single shot prompting in terms of consistency and similarity to your ideal outputs.
Let's reformat our sentiment prompt to include demonstrations:
This should output.
Another common example of few shot prompting is chat conversations. Although Prediction Guard has specific functionality to support chat memory and threads. You can actually use any non-chat-specific model to generate a chat response. For example:
This will output the Hinglish response similar to:
If you don't speak Hinglish, you can check out the translation using another prompt:
Which will output similar to:"
7,7,Prompt Engineering,/usingllms/engineering,"Prompt Engineering, AI Engineering, Prompt templates, Multiple formulations
","Prompt Engineering is an essential aspect of AI engineering, focusing on creating effective prompts and workflows to configure and tune model responses for specific needs. It involves engineering prompts, prompt templates, multiple formulations, consistency and output validation, and using tools like LangChain and Prediction Guard for better results. This approach helps improve model quality, reduce bias, and optimize efficiency in various industries.","Prompt Engineering
(Run this example in Google Colabhere(opens in a new tab))
As we have seen in the previous examples, it is easy enough to prompt a generative AI model. Shoot off an API call, and suddently you have an answer, a machine translation, sentiment analyzed, or a chat message generated. However, going from ""prompting"" to ai engineering of your AI model based processes is a bit more involved. The importance of the ""engineering"" in prompt engineering has become increasingly apparent, as models have become more complex and powerful, and the demand for more accurate and interpretable results has grown.
The ability to engineer effective prompts and related workflows allows us to configure and tune model responses to better suit our specific needs (e.g., for a particular industry like healthcare), whether we are trying to improve the quality of the output, reduce bias, or optimize for efficiency.
Dependencies and imports
This time we will add a new import!
Prompt templates
One of the best practices that we will discuss below involves testing and evaluating model output using example prompt contexts and formulations. In order to institute this practice, we need a way to rapidly and programmatically format prompts with a variety of contexts. We will need this in our applications anyway, because in production we will be receiving dynamic input from the user or another application. That dynamic input (or something extracted from it) will be inserted into our prompts on-the-fly. We already saw in the last notebook a prompt that included a bunch of boilerplate:
This will output:
This kind of prompt template could in theory be flexible to create zero shot or few shot prompts. However, LangChain provides a bit more convenience for few shot prompts. We can first create a template for individual demonstrations within the few shot prompt:
This will output:
Multiple formulations
Why settle for a single prompt and/or set of parameters when you can use mutliple. Try using multiple formulations of your prompt to either:
Provide multiple options to users; or
Create multiple candidate predictions, which you can choose from programmatically using a reference free evaluation of those candidates.
This will output the result for each formulation, which may or may not diverge:
Consistency and output validation
Reliability and consistency in LLM output is a major problem for the ""last mile"" of LLM integrations. You could get a whole variety of outputs from your model, and some of these outputs could be inaccurate or harmful in other ways (e.g., toxic).
Prediction Guard allows you to validate the consistency, factuality, and toxicity of your LLMs outputs. Consistency refers to the internal (or self) model consistency and ensures that the model itself is giving a consistent reply. Factuality checks for the factual consistency of the output with context in the prompt (which is expecially useful if you are embedding retrieved context in prompts). Toxicity measures the harmful language included in the output, such as curse words, slurs, hate speech, etc.
To ensure self-consistency:
You can get a score for factual consistency (0 to 1, which higher numbers being more confidently factually consistent) using themethod and providing a reference text against which to check. This is very relevant to RAG (e.g., chat over your docs) sort of use cases where you have some external context, and you want to ensure that the output is consistent with that context.
This will output something like:
Whereas, if we try to adversarially produce factual inconsistencies:
We might get this kind of output:
To prevent toxic outputs:
The above will likely generate toxic output, but thanks to Prediction Guard, you should only see the following:"
8,8,Chat Completions,/usingllms/chat,"Chat completions, LLMs, chatbot, Prediction Guard API, message array, system, user, assistant","The most important information for this brand's identity is that it focuses on chat-related applications, particularly with the use of LLMs. Prediction Guard has developed a ""chat completions"" endpoint within its API and Python client to facilitate the creation of chatbots. This endpoint simplifies the process of creating chatbots by providing a chat completion feature and handling message threads, context, and instructions. The brand also emphasizes the importance of chat as a frequently occurring use case and the availability of models specifically fine-tuned for chat scenarios.","Chat Completions
(Run this example in Google Colabhere(opens in a new tab))
We briefly introduced few shot chat prompts in the basic prompting tutorial. However, chat is a special scenario when it comes to LLMs because: (1) it is a very frequently occuring use case; (2) there are many models fine-tuned specifically for chat; and (3) the handling of message threads, context, and instructions in chat prompts is always the same.
As such, Prediction Guard has specifically created a ""chat completions"" enpoint within its API and Python client. This tutorial will demonstrate how to easy create a simple chatbot with the chat completions endpoint.
Dependencies and imports
Similar to the last notebook, you will need to install Prediction Guard and add your token.
Basic chat completion
Chat completions are enabled in the Prediction Guard API for only certain of the models. You don't have to worry about special prompt templates when doing these completions as they are already implemented.
To perform a chat completion, you need to create an array of. Each message object should have a:
- ""system"", ""user"", or ""assistant""
- the text associated with the message
You can utilize a single ""system"" role prompt to give general instructions to the bot. Then you should include the message memory from your chatbot in the message array. This gives the model the relevant context from the conversation to respond appropriately.
Simple chatbot
Here we will show the chat functionality with the most simple of chat UI, which just asks for messages and prints the message thread. We will create an evolving message thread and respond with the chat completion portion of the Python client highlighted above."
9,9,Chaining and Retrieval,/usingllms/augmentation,"Chaining, Retrieval, LLM operations","This company focuses on developing innovative approaches to enhance language models (LLMs) by using multi-step reasoning, chaining operations, and integrating external data. They emphasize the importance of grounding prompts with external knowledge and introducing Retrieval-augmented Generation (RAG) to improve the performance of LLMs in tasks like question answering and dialogue systems. Their goal is to create reliable, trustworthy, and consistent enterprise applications using LLMs.","Chaining and Retrieval
(Run this example in Google Colabhere(opens in a new tab))
We've actually already seen how it can be useful to ""chain"" various LLM operations together (see other notebooks underUsing LLMs). In theHinglish chat examplewe chained a response generation and then a machine translation using LLMs.
As you solve problems with LLMs, do NOT always think about your task as a single prompt.Decompose your problem into multiple steps. Just like programming which uses multiple functions, classes, etc. LLM integration is a new kind of reasoning engine that you can ""program"" in a multi-step, conditional, control flow sort of fashion.
Further, enterprise LLM appllications need reliability, trust, and consistency.Because LLMs only predict probable text, they have no understanding or connection to reality.This produceshallucinationsthat can be part of a coherent text block but factually (or otherwise) wrong. To deal with this we need togroundon LLM operations with external data.
Dependencies and imports
We will use LangChain, LanceDB, and a few other things in this tutorial.
Chaining
Le'ts say that we are trying to create a response to a user and we want our LLM to follow a variety of rules. We could try to encode all of these instructions into a single prompt. However, as we accumulate more and more instructions the prompt becomes harder and harder for the LLM to follow. Think about an LLM like a child or a high school intern. We want to make things as clear and easy as possible, and complicated instructions don't do that.
When we run this, at least sometimes, we get bad output because of the complicated instructions:
Rather than try to handle everything in one call to the LLM, let's decompose our logic into multiple calls that are each simple. We will also add in some non-LLM logic The chain of processing is:
Prompt 1 - Determine if the message is a request for code generation.
Prompt 2 - Q&A prompt to answer based on informational context
Prompt 3 - A general chat template for when there isn't an informational question being asked
Prompt 4 - A code generation prompt
Question detector - A non-LLM based detection of whether an input in a question or not
Now we can supply the relevant context and options to our response chain and see what we get back:
This should respond with something similar to:
External knowledge in prompts, Grounding
We've actually already seen external knowledge within our prompts. In thequestion and answer example, thethat we pasted in was a copy of phrasing on the Domino's website. This ""grounds"" the prompt with external knowledge that is current and factual.
The answer returned from this prompting is grounded in the external knowledge we inserted, so we aren't relying on the LLM to provide the answer with its own probabilities and based on its training data.
Retrieval augmentated generation (RAG)

Retrieval-augmented generation (RAG) is an innovative approach that merges the capabilities of large-scale retrieval systems with sequence-to-sequence models to enhance their performance in generating detailed and contextually relevant responses. Instead of relying solely on the knowledge contained within the model's parameters, RAG allows the model to dynamically retrieve and integrate information from an external database or a set of documents during the generation process. By doing so, it provides a bridge between the vast knowledge stored in external sources and the powerful generation abilities of neural models, enabling more informed, diverse, and context-aware outputs in tasks like question answering, dialogue systems, and more.
This is the text that we will be referencing in our RAG system. I mean, who doesn't want to know more about the linux kernel. The above code should print out something like the following, which is the text on that website:
Let's clean things up a bit and split it into smaller chunks (that will fit into our LLM prompts):
Our reference ""chunks"" for retrieval look like the following:
We will now do a bit more clean up and ""embed"" these chunks to store them in a Vector Database.
We now have:
Downloaded our reference data (for eventual retrieval)
Split that reference data into relevant sized chunks for injection into our prompts
Embedded those chunks (such that we have a vector that can be used for matching)
Stored the vectors into the Vector Database (LanceDB in this case)
We can now try matching to text chunks in the database:
This will give a dataframe with a ranking of relevant text chunks by a ""distance"" metric. The lower the distance, the more semantically relevant the chunk is to the user query.
Now we can create a function that will return an answer to a user query based on the RAG methodology:
This will return something similar to:"
